YYYY_LOCAL,MM_LOCAL,DD_LOCAL,HHMM_LOCAL,YYYYMMDDHH,YYYY_SOLAR,MM_SOLAR,DD_SOLAR,HHMM_SOLAR,NEAR_CMMTY,PROVINCE,FUJITA,START_LAT_,START_LON_,END_LAT_N,END_LON_W,LENGTH_M,MOTION_DEG,WIDTH_MAX_,HUMAN_FATA,HUMAN_INJ,ANIMAL_FAT,ANIMAL_INJ,DMG_THOUS,FORECAST_R
     1980.000000,        4.000000,        6.000000,     1920.000000,19800407 0020,     1980.000000,        4.000000,        6.000000,     1847.000000,Altona,MB,0,       49.105000,      -97.568000,     -999.000000,     -999.000000,-999,-999,-999,-999,-999,-999,-999,-999,Morden - Winkler - Altona - Emerson - Morris
     1980.000000,        5.000000,        5.000000,     2000.000000,19800506 2300,     1980.000000,        5.000000,        5.000000,     1839.000000,Stratford,ON,0,       43.385625,      -81.012735,       43.389700,      -80.963823,4190,265,30,-999,-999,-999,-999,-999,Huron - Perth
     1980.000000,        5.000000,       25.000000,     1750.000000,19800525 2350,     1980.000000,        5.000000,       25.000000,     1559.000000,Creelman,SK,1,       49.840000,     -103.630000,     -999.000000,     -999.000000,-999,-999,-999,-999,-999,-999,-999,-999,Estevan - Weyburn - Radville - Milestone
     1980.000000,        5.000000,       28.000000,     1700.000000,19800528 2200,     1980.000000,        5.000000,       28.000000,     1530.000000,16 km S of Morden,MB,0,       49.190000,      -98.100000,     -999.000000,     -999.000000,-999,-999,-999,-999,-999,-999,-999,-999,Morden - Winkler - Altona - Emerson - Morris
     1980.000000,        5.000000,       31.000000,     1334.000000,19800531 1734,     1980.000000,        5.000000,       31.000000,     1217.000000,Georgetown to Woodbridge,ON,0,       43.652990,      -79.930887,       43.762647,      -79.643235,26300,245,490,0,0,0,0,900,Halton - Peel
     1980.000000,        6.000000,        9.000000,     1115.000000,19800609 1515,     1980.000000,        6.000000,        9.000000,     1000.000000,Whitby,ON,0,       43.883971,      -78.971305,       43.883653,      -78.970864,50,315,-999,-999,-999,-999,-999,1,York - Durham
     1980.000000,        6.000000,       23.000000,     2000.000000,19800624 0200,     1980.000000,        6.000000,       23.000000,     1802.000000,Francis,SK,1,       50.102000,     -103.867000,     -999.000000,     -999.000000,-999,-999,-999,-999,-999,-999,-999,-999,Fort Qu'Appelle - Indian Head - Lumsden - Pilot Butte
     1980.000000,        6.000000,       23.000000,     2200.000000,19800624 0400,     1980.000000,        6.000000,       23.000000,     2008.000000,Ebenezer,SK,1,       51.369000,     -102.452000,     -999.000000,     -999.000000,-999,-999,-999,-999,-999,-999,-999,-999,Yorkton - Melville - Esterhazy
     1980.000000,        7.000000,        6.000000,     1505.000000,19800706 2105,     1980.000000,        7.000000,        6.000000,     1358.000000,Prince Albert,SK,1,       53.191000,     -105.721000,     -999.000000,     -999.000000,-999,-999,-999,-999,-999,-999,-999,-999,Prince Albert - Shellbrook - Spiritwood - Duck Lake
     1980.000000,        7.000000,       10.000000,     2230.000000,19800711 0430,     1980.000000,        7.000000,       10.000000,     2027.000000,Fairy Glen to Gronlid,SK,1,       53.068000,     -104.483000,     -999.000000,     -999.000000,-999,-999,-999,-999,-999,-999,-999,-999,Melfort - Tisdale - Nipawin - Carrot River
     1980.000000,        7.000000,       15.000000,     1505.000000,19800715 1905,     1980.000000,        7.000000,       15.000000,     1336.000000,Wellesley,ON,0,       43.489469,      -80.767201,       43.494084,      -80.749729,1500,250,-999,-999,-999,-999,-999,50,Waterloo - Wellington
     1980.000000,        7.000000,       16.000000,      936.000000,19800716 1336,     1980.000000,        7.000000,       16.000000,      758.000000,LaSalle,ON,1,       42.244189,      -83.100691,       42.229000,      -83.027000,6350,285,-999,-999,-999,10,-999,500,Windsor - Essex - Chatham-Kent
     1980.000000,        7.000000,       22.000000,     1120.000000,19800722 1420,     1980.000000,        7.000000,       22.000000,      952.000000,Roseway,NS,0,       43.633266,      -65.349747,     -999.000000,     -999.000000,-999,-999,130,-999,-999,-999,-999,-999,Shelburne County
     1980.000000,        7.000000,       26.000000,     1855.000000,19800726 2355,     1980.000000,        7.000000,       26.000000,     1714.000000,Fairford Indian Reservation,MB,0,       51.580000,      -98.710000,     -999.000000,     -999.000000,-999,-999,-999,-999,-999,-999,-999,-999,Arborg - Hecla - Fisher River - Gypsumville - Ashern
     1980.000000,        7.000000,       28.000000,     2150.000000,19800729 0350,     1980.000000,        7.000000,       28.000000,     2030.000000,North Battleford,SK,0,       52.868000,     -108.287000,     -999.000000,     -999.000000,-999,-999,-999,-999,-999,-999,-999,-999,The Battlefords - Unity - Maidstone - St. Walburg
